addr	size	name	string_hints
00035574	100	FUN_00035574	s_nand_00075a91+0x1d,s_onenand_00076b20,s_Device_%s_not_found!_00076bb8
000355ec	544	FUN_000355ec	s_%s:_offset_%08x_beyond_flash_siz_00076bce,s_onenand_00076b20,s_%s%d:_partition_(%s)_size_too_bi_00076bf6,s_%s:_partitioning_exceeds_flash_s_00076c19
00035830	56	FUN_00035830	
00035868	72	FUN_00035868	
000358b4	1208	FUN_000358b4	s_no_<mtd-id>_identifier_00076f6b+8,s_cluster_0007d8f2+0xe,s_o_<mtd-id>_identifier_00076f6b+9,s_partition_size_too_small_(%lx)_00076cda
00035dac	260	FUN_00035dac	s_nand_00075a91+0x1d,s_onenand_00076b20,s_incorrect_device_type_in_%s_00076e2b,s_incorrect_device_number_in_%s_00076e48
00035ec8	400	FUN_00035ec8	s_no_partition_number_specified_00076e67,s_unexpected_trailing_character_'%_00076e86,s_nand_00075a91+0x1d,s_onenand_00076b20
00036078	1416	FUN_00036078	s_mtdids_00076ee5,s_mtdparts_00076baa,s_partition_00077377+0xe,s_nand0=ark1680-nand_00076ed2
00036660	180	FUN_00036660	PTR_s_no_partition_id_specified_00036714,s_no_partition_id_specified_00077076,PTR_s_nand_00075a91+0x1d_0003671c,s_nand_00075a91+0x1d
00036cc4	92	FUN_00036cc4	s_No_such_device_0007738f,s_Device_%d:_%s_0007739f,s_..._is_now_current_device_000773ad
00036d34	216	FUN_00036d34	s_Device_%d:_0007d929+3,PTR_s_%s,_sector_size_%u_KiB_00036e18,s_%s,_sector_size_%u_KiB_000773cd,PTR_s_Page_size_%8d_b_00036e1c
00036e38	60	FUN_00036e38	
00036e74	220	FUN_00036e74	s_not_a_NAND_device_0007743f,s_Offset_exceeds_device_limit_00077452
00036f5c	272	FUN_00036f5c	PTR_s_'%s'_is_not_a_number_00037070,s_'%s'_is_not_a_number_0007746f,PTR_s_Size_exceeds_partition_or_device_00037074,s_Size_exceeds_partition_or_device_00077485
00037084	2692	FUN_00037084	PTR_s_quiet_00037b08,s_quiet_000774e8,PTR_s_info_000768d9+0xc_00037b10,s_info_000768d9+0xc
00037bc8	152	FUN_00037bc8	s_%s=%s_00077713
00037d28	460	FUN_00037d28	s_stdin_00077774,s_stdout_0007777a,s_stderr_00077781,s_serial#_0007779b
00037f2c	400	FUN_00037f2c	s_##_Error:_illegal_character_'='i_00077814,s_##_Can't_malloc_%d_bytes_0007784a,s_##_Error_inserting_"%s"_variable_00077864
000380f4	72	FUN_000380f4	s_setenv_00077890
00038160	48	FUN_00038160	
00038194	104	FUN_00038194	
000381fc	188	FUN_000381fc	s_env_buf_[%d_bytes]_too_small_for_0007789b
000382bc	104	FUN_000382bc	
00038328	48	FUN_00038328	
00038358	104	FUN_00038358	s_Volume_%s_not_found!_0007796f,s_undefined_instruction_000757b9
00039f34	40	FUN_00039f34	PTR_s_U-Boot_2012.10_(flyound202112301_00039f5c,s_U-Boot_2012.10_(flyound202112301_00071f33,PTR_s_arm-none-linux-gnueabihf-gcc.br__00039f64,s_arm-none-linux-gnueabihf-gcc.br__00078679
00039f6c	164	FUN_00039f6c	
0003a010	28	FUN_0003a010	
0003a038	32	FUN_0003a038	s_%s_-_%s_00078715
0003a05c	376	FUN_0003a05c	s_%-*s-_%s_0007871f,s_Unknown_command_'%s'_-_try_'help_00078729
0003a1dc	88	FUN_0003a1dc	
0003a240	128	FUN_0003a240	s_Unknown_command_'%s'_-_try_'help_0007877e
0003a478	88	FUN_0003a478	
0003a4a8	64	FUN_0003a4a8	
0003a4d8	44	FUN_0003a4d8	s_Capacity:_00076864
0003a508	76	FUN_0003a508	PTR_s__0007d8d9+0x17_00034298,s__0007d8d9+0x17
0003a538	76	FUN_0003a538	
0003a584	60	FUN_0003a584	
0003a5c0	76	FUN_0003a5c0	
0003a628	12	FUN_0003a628	
0003a638	16	FUN_0003a638	
0003a658	40	FUN_0003a658	
0003a680	228	FUN_0003a680	
